Flightplan | V74E -> V74E - Initialize Erasable Dump via Downlink
Flightplan | V83E -> V83E - Rendezvous Parameter Display (R31)
Flightplan | V83E -> V83E - Rendezvous Parameter Display (R31)
Flightplan | V37E 00E -> V37E 00E - Change Program - LGC Idle
Flightplan | V83E -> V83E - Rendezvous Parameter Display (R31)
Flightplan | V76E -> V76E - Set Min Impulse Mode in DAP
Flightplan | V83E -> V83E - Rendezvous Parameter Display (R31)
Flightplan | V37E 30E -> V37E 30E - Change Program - External ?V
Flightplan | 00E -> 00E - LGC Idle
Flightplan | V76E -> V76E - Set Min Impulse Mode in DAP
Flightplan | V63E -> V63E - Start RR/LR Self-Test
Flightplan | V34E -> V34E - Terminate
Flightplan | V41 N72E -> V41 N72E - Coarse Align CDU’s (Specify N20 or N72) - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
Flightplan | V16 N72E -> V16 N72E - Monitor Decimal - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
Flightplan | V44E -> V44E - Terminate Continuous Designate (V41N72 Option 2)
Flightplan | V82E -> V82E - Request Orbit Parameter Display (R30)
Flightplan | V95E -> V95E - Inhibit State Vector Update (P20 or P22)
Flightplan | V37E 20E -> V37E 20E - Change Program - Rendezvous Navigation
Flightplan | V76E -> V76E - Set Min Impulse Mode in DAP
Flightplan | V37E 00E -> V37E 00E - Change Program - LGC Idle
Flightplan | V63E -> V63E - Start RR/LR Self-Test
Flightplan | V34E -> V34E - Terminate
Flightplan | V25 N07E -> V25 N07E - Load Component 1&2&3 - Flag Word Operator, R1=ECADR, R2=BIT ID, R3=Action (Octal)
Flightplan | 40E -> 40E - DPS (Descent Propulsion System)
Flightplan | V37E 30E -> V37E 30E - Change Program - External ?V
Flightplan | 00E -> 00E - LGC Idle
Flightplan | V77E -> V77E - Set Rate Command/Attitude Hold Mode in DAP
Flightplan | V83E -> V83E - Rendezvous Parameter Display (R31)
Flightplan | V37E 52E -> V37E 52E - Change Program - IMU Realign
Flightplan | V22E -> V22E - Load Component 2 in R2
Flightplan | V21E -> V21E - Load Component 1 in R1
Flightplan | V76E -> V76E - Set Min Impulse Mode in DAP
Flightplan | V06 N20E -> V06 N20E - Display Decimal - ICDU Angles Y,P,R (OG,IG,MG) (.01°)
Flightplan | N22E -> N22E - New ICDU Angles Y,P,R, (OG,IG,MG) (.01°)
Flightplan | V34E -> V34E - Terminate
