Flightplan |   F 06 33 (TIG) ->   F 06 33 (TIG) - Display Decimal - TIG (hrs min .01sec)
Flightplan |   F 06 81 DV XYZ (LV) ->   F 06 81 DV XYZ (LV) - Display Decimal - R1=dVX (LV) (+Fwd), R2=dVY (LV) (+Rt), R3=dVZ (LV) (+Dn) (.1fps)
Flightplan |   F 06 42 HA, HP, DV (REQ) ->   F 06 42 HA, HP, DV (REQ) - Display Decimal - R1=Apogee, R2=Perigee R3=dV (Required) (.1nm .1nm .1fps)
Flightplan |   F 16 45 MARKS, TFI, MGA ->   F 16 45 MARKS, TFI, MGA - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
Flightplan |   F 37 ->   F 37 - Change Program
Flightplan |  F 04 12 ->  F 04 12 - Display Octal Comp 1&2  - R1=Option Code (Extended Verbs Only), R2=Desired Option (Octal)
Flightplan |  F 16 72 TRUN, SHAFT (.01 deg) ->  F 16 72 TRUN, SHAFT (.01 deg) - Monitor Decimal - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
Flightplan |  F 16 78 RANGE, RANGE RATE, TFI (.01nm, fps, min-sec) ->  F 16 78 RANGE, RANGE RATE, TFI (.01nm, fps, min-sec) - Monitor Decimal - R1=RR Range, R2=RR Range Rate (.01nm fps)
Flightplan |   F 50 72 (SHFT, TRUN) Confirm Main Lobe Lock-On ->   F 50 72 (SHFT, TRUN) Confirm Main Lobe Lock-On - Please Perform - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
Flightplan |  F 04 12 ->  F 04 12 - Display Octal Comp 1&2  - R1=Option Code (Extended Verbs Only), R2=Desired Option (Octal)
Flightplan |  F 16 72 TRUN, SHAFT (.01 deg) ->  F 16 72 TRUN, SHAFT (.01 deg) - Monitor Decimal - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
Flightplan |  F 16 78 RANGE, RANGE RATE, TFI (.01nm, fps, min-sec) ->  F 16 78 RANGE, RANGE RATE, TFI (.01nm, fps, min-sec) - Monitor Decimal - R1=RR Range, R2=RR Range Rate (.01nm fps)
Flightplan |   F 06 33 (TIG) ->   F 06 33 (TIG) - Display Decimal - TIG (hrs min .01sec)
Flightplan |   F 06 81 DV XYZ (LV) ->   F 06 81 DV XYZ (LV) - Display Decimal - R1=dVX (LV) (+Fwd), R2=dVY (LV) (+Rt), R3=dVZ (LV) (+Dn) (.1fps)
Flightplan |   F 06 42 HA, HP, DV (REQ) ->   F 06 42 HA, HP, DV (REQ) - Display Decimal - R1=Apogee, R2=Perigee R3=dV (Required) (.1nm .1nm .1fps)
Flightplan |   F 16 45 MARKS, TFI, MGA ->   F 16 45 MARKS, TFI, MGA - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
Flightplan |   F 37 ->   F 37 - Change Program
Flightplan |   F 04 06 ->   F 04 06 - Display Octal Comp 1&2  - R1=Option Code, R2=Desired Option, R3=Data (Octal)
Flightplan |   F 22 06 ->   F 22 06 - Load Component 2 in R2 - R1=Option Code, R2=Desired Option, R3=Data (Octal)
Flightplan |   F 50 25 ->   F 50 25 - Please Perform - Checklist (Used with V50) (Octal)
Flightplan |   F 01 70 ->   F 01 70 - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
Flightplan |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
Flightplan |   06 18 Auto MNVR to FDAI RPY Angles ->   06 18 Auto MNVR to FDAI RPY Angles - Display Decimal - Desired Maneuver to FDAI RPY Angles (.01°)
Flightplan |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
Flightplan |   F 37 ->   F 37 - Change Program
Undocking |   F 16 83 dV XYZ ->   F 16 83 dV XYZ - Monitor Decimal - R1=dVX (LM) (+Up), R2=dVY (LM) (+Rt), R3=dVZ (LM) (+Fwd) (.1fps)
P52 IMU Realign (REFSMMAT) |   F 04 06 ->   F 04 06 - Display Octal Comp 1&2  - R1=Option Code, R2=Desired Option, R3=Data (Octal)
P52 IMU Realign (REFSMMAT) |   F 22 06 ->   F 22 06 - Load Component 2 in R2 - R1=Option Code, R2=Desired Option, R3=Data (Octal)
P52 IMU Realign (REFSMMAT) |   F 50 25 ->   F 50 25 - Please Perform - Checklist (Used with V50) (Octal)
P52 IMU Realign (REFSMMAT) |   F 06 05 ->   F 06 05 - Display Decimal - Angular Error/Difference (.01°)
P52 IMU Realign (REFSMMAT) |   F 06 93 ->   F 06 93 - Display Decimal - d Gyro Torquing Angles, R1=X, R2=Y, R3=Z (.001°)
P52 IMU Realign (REFSMMAT) |   F 50 25 ->   F 50 25 - Please Perform - Checklist (Used with V50) (Octal)
P52 IMU Realign (REFSMMAT) |   F 37 ->   F 37 - Change Program
P52 PICAPAR | F 05 09 00405, press FAIL to manually select -> F 05 09 00405, press FAIL to manually select - Display Octal Comp 1,2&3 - Alarm Codes (Octal)
P52 PICAPAR |   F 01 70 ->   F 01 70 - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
P52 PICAPAR |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
P52 PICAPAR |   06 18 Auto MNVR to FDAI RPY Angles ->   06 18 Auto MNVR to FDAI RPY Angles - Display Decimal - Desired Maneuver to FDAI RPY Angles (.01°)
P52 PICAPAR |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
P52 PICAPAR |   F 01 71 R1 00CDE C=DETENT DE=STAR CODE ->   F 01 71 R1 00CDE C=DETENT DE=STAR CODE - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
P52 PICAPAR |   F 54 71 MNVR to Allow Star to Cross X Axis in AOT ->   F 54 71 MNVR to Allow Star to Cross X Axis in AOT - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
P52 PICAPAR |   F 53 71 MNVR to Allow Star to Cross Y Axis in AOT ->   F 53 71 MNVR to Allow Star to Cross Y Axis in AOT - Mark Y-Reticle - AOT Detent/Star Code (Octal)
P52 PICAPAR |   F 01 70 ->   F 01 70 - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
P52 PICAPAR |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
P52 PICAPAR |   06 18 Auto MNVR to FDAI RPY Angles ->   06 18 Auto MNVR to FDAI RPY Angles - Display Decimal - Desired Maneuver to FDAI RPY Angles (.01°)
P52 PICAPAR |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
P52 PICAPAR |   F 01 71 R1 00CDE C=DETENT DE=STAR CODE ->   F 01 71 R1 00CDE C=DETENT DE=STAR CODE - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
P52 PICAPAR |   F 54 71 MNVR to Allow Star to Cross X Axis in AOT ->   F 54 71 MNVR to Allow Star to Cross X Axis in AOT - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
P52 PICAPAR |   F 53 71 MNVR to Allow Star to Cross Y Axis in AOT ->   F 53 71 MNVR to Allow Star to Cross Y Axis in AOT - Mark Y-Reticle - AOT Detent/Star Code (Octal)
P52 Manual Select |   F 01 70 ->   F 01 70 - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
P52 Manual Select |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
P52 Manual Select |   06 18 Auto MNVR to FDAI RPY Angles ->   06 18 Auto MNVR to FDAI RPY Angles - Display Decimal - Desired Maneuver to FDAI RPY Angles (.01°)
P52 Manual Select |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
P52 Manual Select |   F 01 71 R1 00CDE C=DETENT DE=STAR CODE ->   F 01 71 R1 00CDE C=DETENT DE=STAR CODE - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
P52 Manual Select |   F 54 71 MNVR to Allow Star to Cross X Axis in AOT ->   F 54 71 MNVR to Allow Star to Cross X Axis in AOT - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
P52 Manual Select |   F 53 71 MNVR to Allow Star to Cross Y Axis in AOT ->   F 53 71 MNVR to Allow Star to Cross Y Axis in AOT - Mark Y-Reticle - AOT Detent/Star Code (Octal)
P52 Manual Select |   F 01 70 ->   F 01 70 - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
P52 Manual Select |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
P52 Manual Select |   06 18 Auto MNVR to FDAI RPY Angles ->   06 18 Auto MNVR to FDAI RPY Angles - Display Decimal - Desired Maneuver to FDAI RPY Angles (.01°)
P52 Manual Select |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
P52 Manual Select |   F 01 71 R1 00CDE C=DETENT DE=STAR CODE ->   F 01 71 R1 00CDE C=DETENT DE=STAR CODE - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
P52 Manual Select |   F 54 71 MNVR to Allow Star to Cross X Axis in AOT ->   F 54 71 MNVR to Allow Star to Cross X Axis in AOT - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
P52 Manual Select |   F 53 71 MNVR to Allow Star to Cross Y Axis in AOT ->   F 53 71 MNVR to Allow Star to Cross Y Axis in AOT - Mark Y-Reticle - AOT Detent/Star Code (Octal)
P52 IMU Realign (Star Check) |   F 50 25 ->   F 50 25 - Please Perform - Checklist (Used with V50) (Octal)
P52 IMU Realign (Star Check) |   F 01 70 ->   F 01 70 - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
P52 IMU Realign (Star Check) |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
P52 IMU Realign (Star Check) |   06 18 Auto MNVR to FDAI RPY Angles ->   06 18 Auto MNVR to FDAI RPY Angles - Display Decimal - Desired Maneuver to FDAI RPY Angles (.01°)
P52 IMU Realign (Star Check) |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
P52 IMU Realign (Bad Angle) |   F 50 25 ->   F 50 25 - Please Perform - Checklist (Used with V50) (Octal)
P57 Align (REFSMMAT) 2CB |   F 04 06 ->   F 04 06 - Display Octal Comp 1&2  - R1=Option Code, R2=Desired Option, R3=Data (Octal)
P57 Align (REFSMMAT) 2CB |   F 22 06 ->   F 22 06 - Load Component 2 in R2 - R1=Option Code, R2=Desired Option, R3=Data (Octal)
P57 Align (REFSMMAT) 2CB |   F 05 06 ->   F 05 06 - Display Octal Comp 1,2&3 - R1=Option Code, R2=Desired Option, R3=Data (Octal)
P57 Align (REFSMMAT) 2CB |   F 22 06 ->   F 22 06 - Load Component 2 in R2 - R1=Option Code, R2=Desired Option, R3=Data (Octal)
P57 Align (REFSMMAT) 2CB |   F 01 70 ->   F 01 70 - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
P57 Align (REFSMMAT) 2CB |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
P57 Align (REFSMMAT) 2CB |   F 01 71 R1 00CDE C=DETENT DE=STAR CODE ->   F 01 71 R1 00CDE C=DETENT DE=STAR CODE - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
P57 Align (REFSMMAT) 2CB |   F 54 71 Mark X or Y ->   F 54 71 Mark X or Y - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
P57 Align (REFSMMAT) 2CB |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
P57 Align (REFSMMAT) 2CB |   F 54 71 Mark X or Y ->   F 54 71 Mark X or Y - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
P57 Align (REFSMMAT) 2CB |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
P57 Align (REFSMMAT) 2CB |   F 54 71 Mark X or Y ->   F 54 71 Mark X or Y - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
P57 Align (REFSMMAT) 2CB |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
P57 Align (REFSMMAT) 2CB |   F 01 70 ->   F 01 70 - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
P57 Align (REFSMMAT) 2CB |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
P57 Align (REFSMMAT) 2CB |   F 01 71 R1 00CDE C=DETENT DE=STAR CODE ->   F 01 71 R1 00CDE C=DETENT DE=STAR CODE - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
P57 Align (REFSMMAT) 2CB |   F 54 71 Mark X or Y ->   F 54 71 Mark X or Y - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
P57 Align (REFSMMAT) 2CB |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
P57 Align (REFSMMAT) 2CB |   F 54 71 Mark X or Y ->   F 54 71 Mark X or Y - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
P57 Align (REFSMMAT) 2CB |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
P57 Align (REFSMMAT) 2CB |   F 54 71 Mark X or Y ->   F 54 71 Mark X or Y - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
P57 Align (REFSMMAT) 2CB |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
P57 Align (REFSMMAT) 2CB |   F 06 05 ->   F 06 05 - Display Decimal - Angular Error/Difference (.01°)
P57 Align (REFSMMAT) 2CB |   F 06 93 ->   F 06 93 - Display Decimal - d Gyro Torquing Angles, R1=X, R2=Y, R3=Z (.001°)
P57 Align (REFSMMAT) 2CB |   F 06 89 LAT, LONG/2, ALT ->   F 06 89 LAT, LONG/2, ALT - Display Decimal - R1=Latitude, R2=Longitude/2, R3=Altitude (.001° .001° .01nm)
P57 Align (REFSMMAT) 2CB |   F 37 ->   F 37 - Change Program
P57 Align (REFSMMAT) RM&G |   F 04 06 ->   F 04 06 - Display Octal Comp 1&2  - R1=Option Code, R2=Desired Option, R3=Data (Octal)
P57 Align (REFSMMAT) RM&G |   F 22 06 ->   F 22 06 - Load Component 2 in R2 - R1=Option Code, R2=Desired Option, R3=Data (Octal)
P57 Align (REFSMMAT) RM&G |   F 05 06 ->   F 05 06 - Display Octal Comp 1,2&3 - R1=Option Code, R2=Desired Option, R3=Data (Octal)
P57 Align (REFSMMAT) RM&G |   F 06 22 ->   F 06 22 - Display Decimal - New ICDU Angles Y,P,R, (OG,IG,MG) (.01°)
P57 Align (REFSMMAT) RM&G |   F 06 04 (+) Gravity Error Angle ->   F 06 04 (+) Gravity Error Angle - Display Decimal - Gravity Error Angle (.01°)
P57 Align (REFSMMAT) RM&G |   F 06 22 ->   F 06 22 - Display Decimal - New ICDU Angles Y,P,R, (OG,IG,MG) (.01°)
P57 Align (REFSMMAT) RM&G |   F 06 05 Star Angle Difference ->   F 06 05 Star Angle Difference - Display Decimal - Angular Error/Difference (.01°)
P57 Align (REFSMMAT) RM&G |   F 06 93 ->   F 06 93 - Display Decimal - d Gyro Torquing Angles, R1=X, R2=Y, R3=Z (.001°)
P57 Align (REFSMMAT) RM&G |   F 50 25 ->   F 50 25 - Please Perform - Checklist (Used with V50) (Octal)
P57 Align (REFSMMAT) RM&G |   F 06 89 LAT, LONG/2, ALT ->   F 06 89 LAT, LONG/2, ALT - Display Decimal - R1=Latitude, R2=Longitude/2, R3=Altitude (.001° .001° .01nm)
P57 Align (REFSMMAT) RM&G |   F 37 ->   F 37 - Change Program
DOI |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
DOI |   06 18 Auto MNVR to FDAI RPY Angles ->   06 18 Auto MNVR to FDAI RPY Angles - Display Decimal - Desired Maneuver to FDAI RPY Angles (.01°)
DOI |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
DOI |   F 16 54 R, Rdot, Theta ->   F 16 54 R, Rdot, Theta - Monitor Decimal - R1=Range, R2=Range Rate, R3=Theta (.01nm .1fps .01°)
DOI |   F 06 86 dVX, dVY, dVZ  ->   F 06 86 dVX, dVY, dVZ  - Display Decimal - R1=dGX (LV) (+Fwd), R2=dGY (LV) (+Rt), R3=dGZ (LV) (+Dn) (.1fps)
DOI |   F 50 25 00203 ->   F 50 25 00203 - Please Perform - Checklist (Used with V50) (Octal)
DOI |   06 40 (TFC, VG, dVM) ->   06 40 (TFC, VG, dVM) - Display Decimal - R1=Time From Ignition/Cutoff, R2=VG ,R3=dV (Accumulated) (min-sec .1fps .1fps)
DOI |   F 16 40 TFC, VG, dVM ->   F 16 40 TFC, VG, dVM - Monitor Decimal - R1=Time From Ignition/Cutoff, R2=VG ,R3=dV (Accumulated) (min-sec .1fps .1fps)
DOI |   F 16 85 VG XYZ (LM) ->   F 16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
DOI |   F 37 ->   F 37 - Change Program
PDI |   F 37 ->   F 37 - Change Program
PDI |   F 06 61 TG,TFI,CR ->   F 06 61 TG,TFI,CR - Display Decimal - R1=TG, R2=TF (TFI), R3=Crossrange (min-sec min-sec .1nm)
PDI |   F 50 25 ->   F 50 25 - Please Perform - Checklist (Used with V50) (Octal)
