Flightplan | 400+3 -> 400+3 - IMU Align
Flightplan | 440R (Range Rate) -> 440R (Range Rate) - Range Rate Between LM and CSM (RDOT) (-closing) (.1fps)
Flightplan | 317R (Range) -> 317R (Range) - LM to CSM Range (R) (Computed) (.1 nm)
Flightplan | 277R (Theta) -> 277R (Theta) - Angle Between Local Horizon and Z body Axls (.01deg)
Flightplan | 232+00600 -> 232+00600 - Orbit Insertion Altitude (100 ft)
Flightplan | 233+00250 -> 233+00250 - Vertical Pitch Steering Altitude Threshold (100 ft)
Flightplan | 404R -> 404R - dVX (Use 470 For Readout) (Octal)
Flightplan | 405R -> 405R - dVY (Use 471 For Readout) (Octal)
Flightplan | 406R -> 406R - dVZ (Use 472 For Readout) (Octal)
Flightplan | 464+00500 -> 464+00500 - Vertical Pitch Steering, Attitude Rate Threshold (.1fps)
Flightplan | 465+00195 -> 465+00195 - Target Radial Rate at Insertion (.1fps)
Flightplan | 616+0 -> 616+0 - Ullage counter value for ullage completion (2 sec)
Flightplan | 623+0 -> 623+0 - Z Body Parallel to CSM Orbit Plane When in Guidance Steering (400 set to +10000)
Flightplan | 224 -> 224 - Term in LM desired semi-major axis (O.I.) (100 ft)
Flightplan | 225 -> 225 - Lower limit of aL (O.I.) (100 ft)
Flightplan | 226 -> 226 - Upper limit of aL (O.I.) (100 ft)
Flightplan | 227 -> 227 - Constant in aL (O.I.)
Flightplan | 231 -> 231 - Radial Distance of Launch Site From Center of Moon (100 ft)
Flightplan | 400+3 -> 400+3 - IMU Align
Flightplan | 317R (Range) -> 317R (Range) - LM to CSM Range (R) (Computed) (.1 nm)
Flightplan | 440R (Range Rate) -> 440R (Range Rate) - Range Rate Between LM and CSM (RDOT) (-closing) (.1fps)
Flightplan | 277R (Theta) -> 277R (Theta) - Angle Between Local Horizon and Z body Axls (.01deg)
Flightplan | 400+2 -> 400+2 - Z-Body Axis Steering
Flightplan | 507+0 -> 507+0 - Z Body Points in Direction of CSM when in Z-Body Axis Steering (400 set to +20000)
Flightplan | 400+0 -> 400+0 - Attitude Hold
Flightplan | 410+0 -> 410+0 - Orbit Insertion Routine
Flightplan | 407+0 -> 407+0 - Use Rotating External dV Reference Frame
Flightplan | 400+2 -> 400+2 - Z-Body Axis Steering
Flightplan | 400+0 -> 400+0 - Attitude Hold
Undocking | 404+00000 -> 404+00000 - dVX (Use 470 For Readout) (Octal)
Undocking | 405+00000 -> 405+00000 - dVY (Use 471 For Readout) (Octal)
Undocking | 406+00000 -> 406+00000 - dVZ (Use 472 For Readout) (Octal)
Undocking | 470R -> 470R - dVX Measured (LM) (+ Up) (Use 404 to Zero) (.1fps)
DOI | 317R (Range) -> 317R (Range) - LM to CSM Range (R) (Computed) (.1 nm)
DOI | 440R (Range Rate) -> 440R (Range Rate) - Range Rate Between LM and CSM (RDOT) (-closing) (.1fps)
DOI | 400+3 -> 400+3 - IMU Align
DOI | 400R -> 400R - AGS FUNCTION SELECTOR
DOI | 277R (Theta) -> 277R (Theta) - Angle Between Local Horizon and Z body Axls (.01deg)
DOI | 400+1 -> 400+1 - Auto Guidance Steering
DOI | 410+5 -> 410+5 - External dV
DOI | 450 -> 450 - dVX (LV) (+Fwd) (.1fps)
